spec;sk;k1;k2;k3;k4;k5;k6;b;p_b
capture noisily mixed    loghwagenet att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                            ;89;1;1;3;1;6;2;.035227727;.018821998
capture noisily mixed    loghwagenet att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                            ;90;1;1;3;1;6;3;.063797228;.00015430892
capture noisily reghdfe  loghwagegross_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                      ;91;1;1;3;2;1;1;.013387578;.053759743
capture noisily mixed    loghwagegross_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                      ;92;1;1;3;2;1;2;.0042933072;.43087742
capture noisily mixed    loghwagegross_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                      ;93;1;1;3;2;1;3;.0098618465;.092277914
capture noisily reghdfe  loghwagegross_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                       ;94;1;1;3;2;2;1;.018584628;.012702535
capture noisily mixed    loghwagegross_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                       ;95;1;1;3;2;2;2;.0070031853;.23832032
capture noisily mixed    loghwagegross_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                       ;96;1;1;3;2;2;3;.012979166;.036041912
capture noisily reghdfe  loghwagegross c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                           ;97;1;1;3;2;3;1;.021836948;.0052272766
capture noisily mixed    loghwagegross c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                           ;98;1;1;3;2;3;2;.0066940058;.30681109
capture noisily mixed    loghwagegross c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                           ;99;1;1;3;2;3;3;.016803028;.014159977
capture noisily reghdfe  loghwagenet_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                        ;100;1;1;3;2;4;1;.013761765;.0058147744
capture noisily mixed    loghwagenet_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                        ;101;1;1;3;2;4;2;.01007708;.01649842
capture noisily mixed    loghwagenet_trim c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                        ;102;1;1;3;2;4;3;.012156195;.0046836589
capture noisily reghdfe  loghwagenet_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                         ;103;1;1;3;2;5;1;.018184638;.0031146836
capture noisily mixed    loghwagenet_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                         ;104;1;1;3;2;5;2;.011832056;.01341975
capture noisily mixed    loghwagenet_win c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                         ;105;1;1;3;2;5;3;.016004089;.0025042419
capture noisily reghdfe  loghwagenet c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                             ;106;1;1;3;2;6;1;.018278897;.009975641
capture noisily mixed    loghwagenet c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                             ;107;1;1;3;2;6;2;.010822578;.043273084
capture noisily mixed    loghwagenet c.attw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids                                 b1.isco08_1d                                             ;108;1;1;3;2;6;3;.016065491;.0097352928
capture noisily reghdfe  loghwagegross_trim att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short                                                                   ;109;1;1;4;1;1;1;.045709465;.023566345
capture noisily mixed    loghwagegross_trim att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short                                                                   ;110;1;1;4;1;1;2;.0074375151;.60775083
capture noisily mixed    loghwagegross_trim att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short                                                                   ;111;1;1;4;1;1;3;.032390077;.058436979
capture noisily reghdfe  loghwagegross_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short                                                                    ;112;1;1;4;1;2;1;.064747103;.0033709696
capture noisily mixed    loghwagegross_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short                                                                    ;113;1;1;4;1;2;2;.019656148;.22781956
capture noisily mixed    loghwagegross_win att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short                                                                    ;114;1;1;4;1;2;3;.046813022;.012887597
capture noisily reghdfe  loghwagegross att_diw1 b0.mode c.age b1.cohort b1.migstatus b1.parentisced_short c.nkids b1.isced_short                                                                        ;115;1;1;4;1;3;1;.076726988;.0025158231
